[-0.3, -0.02, 138.6, 2, 0.5, 0]
[-0.30005, -0.02, 138.6, 2, 0.5, 0]
[-0.30074999999999996, -0.02, 138.6, 2, 0.5, 0]
[-0.30155, -0.02, 138.6, 2, 0.5, 0]
[-0.30224999999999996, -0.02, 138.6, 2, 0.5, 0]
[-0.30295, -0.02, 138.6, 2, 0.5, 0]
[-0.30369999999999997, -0.02, 138.6, 2, 0.5, 0]
[-0.30455, -0.02, 138.6, 2, 0.5, 0]
[-0.3055, -0.02, 138.6, 2, 0.5, 0]
[-0.30674999999999997, -0.02, 138.6, 2, 0.5, 0]
[-0.30795, -0.02, 138.6, 2, 0.5, 0]
[-0.3131, -0.02, 138.6, 2, 0.5, 0]
[-0.30005, -0.02, 138.6, 2, 0.5, 0]
[-0.2999, -0.02, 138.6, 2, 0.5, 0]
[-0.2996, -0.02, 138.6, 2, 0.5, 0]
[-0.29925, -0.02, 138.6, 2, 0.5, 0]
[-0.29885, -0.02, 138.6, 2, 0.5, 0]
[-0.2983, -0.02, 138.6, 2, 0.5, 0]
[-0.29764999999999997, -0.02, 138.6, 2, 0.5, 0]
[-0.29695, -0.02, 138.6, 2, 0.5, 0]
[-0.29619999999999996, -0.02, 138.6, 2, 0.5, 0]
[-0.2953, -0.02, 138.6, 2, 0.5, 0]
[-0.2943, -0.02, 138.6, 2, 0.5, 0]
[-0.29325, -0.02, 138.6, 2, 0.5, 0]
[-0.2887, -0.02, 138.6, 2, 0.5, 0]
[-0.28695, -0.02, 138.6, 2, 0.5, 0]
[-0.2854, -0.02, 138.6, 2, 0.5, 0]
[-0.28365, -0.02, 138.6, 2, 0.5, 0]
[-0.28175, -0.02, 138.6, 2, 0.5, 0]
[-0.28025, -0.02, 138.6, 2, 0.5, 0]
[-0.27875, -0.02, 138.6, 2, 0.5, 0]
[-0.2772, -0.02, 138.6, 2, 0.5, 0]
[-0.27575, -0.02, 138.6, 2, 0.5, 0]
[-0.2743, -0.02, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.02, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.02, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.021150000000000002, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0217, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.022350000000000002, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.02305, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.02385, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0247, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.02565, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0267, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0279, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0292, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0305, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.032, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0335, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.035, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.036449999999999996, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0379, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.039400000000000004, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.04675, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.04915, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0507, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.052250000000000005, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0538, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0553, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0567, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.058249999999999996, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0597, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.061200000000000004, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.06265, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.06415, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.06570000000000001, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.06715, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.06865, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.07010000000000001, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0776, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.0792, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.06865, 138.6, 2, 0.5, 0]
[-0.30119999999999997, -0.06865, 138.6456, 2, 0.5, 0]
[-0.30119999999999997, -0.06865, 138.6912, 2, 0.5, 0]
[-0.30119999999999997, -0.06865, 138.73680000000002, 2, 0.5, 0]
[-0.30119999999999997, -0.06865, 138.78240000000002, 2, 0.5, 0]
