[-0.3, -0.1, 138, 2, 0.5, 0]
[-0.3001, -0.1, 138, 2, 0.5, 0]
[-0.3001, -0.1, 138, 2, 0.5, 0]
[-0.3001, -0.1, 138, 2, 0.5, 0]
[-0.30124999999999996, -0.1, 138, 2, 0.5, 0]
[-0.30224999999999996, -0.1, 138, 2, 0.5, 0]
[-0.30324999999999996, -0.1, 138, 2, 0.5, 0]
[-0.30405, -0.1, 138, 2, 0.5, 0]
[-0.30495, -0.1, 138, 2, 0.5, 0]
[-0.30605, -0.1, 138, 2, 0.5, 0]
[-0.3072, -0.1, 138, 2, 0.5, 0]
[-0.3086, -0.1, 138, 2, 0.5, 0]
[-0.30985, -0.1, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.1, 138, 2, 0.5, 0]
[-0.31655, -0.1, 138, 2, 0.5, 0]
[-0.31815, -0.1, 138, 2, 0.5, 0]
[-0.31965, -0.1, 138, 2, 0.5, 0]
[-0.3211, -0.1, 138, 2, 0.5, 0]
[-0.32265, -0.1, 138, 2, 0.5, 0]
[-0.3241, -0.1, 138, 2, 0.5, 0]
[-0.32565, -0.1, 138, 2, 0.5, 0]
[-0.32715, -0.1, 138, 2, 0.5, 0]
[-0.32865, -0.1, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.1, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10005, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10125, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10225000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10325000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10410000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10500000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10600000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10725000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.10840000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.1097, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.111, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.11255000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.11555000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.11705, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.11850000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.12005, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.12155, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.12705, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138.066, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138.132, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138.264, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31124999999999997, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.311, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.3122, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31305, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31384999999999996, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31465, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31544999999999995, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31739999999999996, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31849999999999995, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31975, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.32104999999999995, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.32275, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.32625, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.32794999999999996, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.32954999999999995, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11410000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11410000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11410000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11445000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11520000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11585000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11655000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11730000000000002, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11805000000000002, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11895000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11405000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11395000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.1136, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11325000000000002, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11280000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11225000000000002, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11160000000000002, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11090000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.11010000000000002, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10915000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10795000000000002, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10685000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10565000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10435000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10300000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10155000000000002, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.09630000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.0937, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10965000000000001, 138.198, 2, 0.5, 0]
[-0.31634999999999996, -0.10965000000000001, 138.2577, 2, 0.5, 0]
[-0.31634999999999996, -0.10965000000000001, 138.3174, 2, 0.5, 0]
[-0.31634999999999996, -0.10965000000000001, 138.37709999999998, 2, 0.5, 0]
[-0.31634999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.31634999999999996, -0.10965000000000001, 138.49649999999997, 2, 0.5, 0]
[-0.31634999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.31639999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.31639999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.31639999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
