[0.0, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.00025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.00025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.00025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.00025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.00025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.00025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.0011, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.0017000000000000001, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.0022500000000000003, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.0027500000000000003, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.00335, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.004, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.0047, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.0054, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.006200000000000001, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.008400000000000001, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.00935, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01115, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01205, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.012950000000000001, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.013850000000000001, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.0148, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.015700000000000002, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.016550000000000002, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -5e-05, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.00015000000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.00025, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.00045000000000000004, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.0011, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.0015, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.0019500000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.0024000000000000002, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.00295, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.00355, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.004200000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, -0.0049, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0002, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00035, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0006000000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0009000000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0013000000000000002, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00235, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00285, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0034500000000000004, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0041, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0048000000000000004, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00555, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.006350000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.007200000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.0081, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.009000000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00995, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.01085, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.01175, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.01265, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.013550000000000001, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.5, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.568, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.63600000000002, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.70400000000004, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.77200000000005, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.84000000000006, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.01025, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.0102, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.0105, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.0111, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.011550000000000001, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
